Model,METR-LA ZS,METR-LA FS (5%),METR-LA Gain (5%),METR-LA FS (10%),METR-LA Gain (10%),PEMS03 ZS,PEMS03 FS (5%),PEMS03 Gain (5%),PEMS03 FS (10%),PEMS03 Gain (10%),PEMS04 ZS,PEMS04 FS (5%),PEMS04 Gain (5%),PEMS04 FS (10%),PEMS04 Gain (10%),PEMS07 ZS,PEMS07 FS (5%),PEMS07 Gain (5%),PEMS07 FS (10%),PEMS07 Gain (10%),PEMS08 ZS,PEMS08 FS (5%),PEMS08 Gain (5%),PEMS08 FS (10%),PEMS08 Gain (10%),PEMS-BAY ZS,PEMS-BAY FS (5%),PEMS-BAY Gain (5%),PEMS-BAY FS (10%),PEMS-BAY Gain (10%),Avg ZS,Avg FS (5%),Avg Gain (5%),Avg FS (10%),Avg Gain (10%)
OpenCity,7.336153574514724,5.772021727065012,1.564131847449712,5.7420468878969375,1.5941066866177867,29.161298322458546,23.147728779049416,6.01356954340913,22.954310426668222,6.2069878957903235,36.782860902813376,30.06432113376274,6.718539769050636,29.99701100164115,6.785849901172224,35.62455668388356,31.919147707150977,3.705408976732585,31.641470295945407,3.9830863879381546,31.357396091426814,24.888843918705845,6.468552172720969,24.629138568500142,6.728257522926672,3.172577221882884,2.3396465068226315,0.8329307150602525,2.322205218876627,0.8503720030062571,23.90580713282998,19.688618295426103,4.217188837403881,19.547697066588082,4.3581100662419034
FactoST,7.6191134718039555,5.604067262218484,2.0150462095854715,5.443728707294554,2.1753847645094018,27.85312315515866,20.574316322712217,7.278806832446442,19.221018745194534,8.632104409964125,35.25740118614305,25.15240243373889,10.10499875240416,24.628822582027922,10.628578604115127,,,,,,,,,,,,,,,,23.576545937701884,17.110262006223195,6.466283931478691,16.43119001150567,7.145355926196218
UniST,7.494592849208823,5.850736717290007,1.6438561319188159,5.61055569500778,1.8840371542010432,25.619115439527434,20.418561340291138,5.200554099236296,19.164703743746234,6.4544116957812,31.220464622804904,27.379724943242365,3.840739679562539,26.73302447287392,4.487440149930983,35.12168778599919,29.186284156137308,5.935403629861884,27.932814687617643,7.188873098381549,25.1626239102166,21.656381941056466,3.5062419691601328,21.035346860284204,4.127277049932395,2.6551232883602176,2.190046450296427,0.46507683806379063,2.131829192050139,0.5232940963100785,21.212267982686193,17.780289258052285,3.4319787246339097,17.101379108596653,4.110888874089541
UniST-lite,7.288363280703926,6.017108310022734,1.2712549706811922,5.894256985299202,1.3941062954047245,23.83824587379444,21.564826106587013,2.2734197672074252,21.00083336165634,2.8374125121380978,29.452436060702066,27.616605112337954,1.8358309483641122,27.016592852877213,2.4358432078248526,34.24718599061708,29.995050561885915,4.252135428731169,29.43154408412841,4.815641906488672,24.404659262648575,22.16284429275238,2.241814969896197,21.844620719686286,2.560038542962289,2.6546044230094603,2.3390515617092786,0.3155528613001817,2.2266476695396458,0.42795675346981454,20.31424914857926,18.282580990882547,2.031668157696713,17.902415945531185,2.4118332030480754
UniFlow,8.943661304212565,5.795070261810088,3.148591042402477,5.7574787057534875,3.1861825984590775,32.33849074610524,24.07008950231999,8.268401243785252,23.75339621387616,8.585094532229082,38.71155550355595,30.55230291872793,8.159252584828021,30.326079899665867,8.385475603890082,39.45026995277676,32.446035893848574,7.0042340589281835,32.1144532886033,7.335816664173457,31.946344929772454,25.37512553060377,6.571219399168683,25.073002198794942,6.873342730977512,3.213269791449152,2.3326845385769897,0.8805852528721623,2.3152180549092334,0.8980517365399185,25.76726537131202,20.095218107647888,5.672047263664131,19.889938060267166,5.877327311044855
ST-MambaSync,7.422518245788592,5.580746347089003,1.841771898699589,5.610952048586459,1.8115661972021337,31.911222481252953,24.033688153826258,7.8775343274266945,23.314894613409116,8.596327867843836,37.48193876438231,30.266004933000175,7.215933831382138,29.63362397288824,7.848314791494072,37.82975865224347,32.37512246643327,5.454636185810202,32.01318113563071,5.81657751661276,32.51793293480401,24.917803934028555,7.600129000775453,24.34252979948714,8.17540313531687,3.0484721597390023,2.2102734212413555,0.8381987384976468,2.1757396866870238,0.8727324730519785,25.035307206368387,19.89727320926977,5.138033997098621,19.515153542781448,5.5201536635869415
DPM-SR,6.716785413878305,5.847461107882738,0.8693243059955664,5.800991022893919,0.9157943909843853,25.910956727417833,21.133805664173494,4.7771510632443395,20.9397480272407,4.971208700177133,30.3014483248453,26.442595294301544,3.858853030543756,26.2989535896699,4.0024947351754,32.42082341602483,30.230596928983122,2.190226487041709,30.067332281327012,2.353491134697819,22.813421103331418,21.043802928280186,1.7696181750512316,20.882149525590844,1.9312715777405742,2.345776373748134,2.1633977623374347,0.18237861141069933,2.144594313959082,0.20118205978905213,20.084868559874305,17.81027661432642,2.2745919455478836,17.68896146011358,2.395907099760727
DPM-SR++,7.597668317497754,5.618347248930562,1.9793210685671916,5.7201410298883495,1.8775272876094045,23.11602797515542,21.024706714916377,2.0913212602390416,20.808127032304796,2.3079009428506225,27.926663075578155,26.278368183786835,1.6482948917913198,26.137399567247,1.7892635083311532,32.05251796011565,30.015632515441983,2.0368854446736684,29.803793045738512,2.2487249143771386,22.9015997701937,20.72554890207342,2.1760508681202815,20.56048427938341,2.3411154908102922,2.332379718591029,2.136548583641316,0.19583113494971283,2.0881676612497753,0.24421205734125362,19.321142802855285,17.633192024798415,1.6879507780568694,17.51968543596864,1.801457366886644
DPM-SR++-ZED,6.591013105607982,6.446474794621211,0.14453831098677128,6.414540470623579,0.17647263498440324,23.23780253470218,21.447770339241437,1.7900321954607428,21.269501693398446,1.9683008413037335,27.793272156286015,27.136482204871154,0.6567899514148614,26.784558104112815,1.0087140521732003,31.338600233303193,29.91532877193576,1.4232714613674347,29.577156693633555,1.7614435396696386,22.166642693785935,21.40738903939187,0.7592536543940653,20.93965588496612,1.2269868088198166,2.4371779436885532,2.236669175538716,0.2005087681498372,2.228382100379073,0.2087958433094803,18.927418111228977,18.098352387600027,0.8290657236289521,17.86896582451893,1.0584522867100454
